Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Jose Abreu,31,3,MLB-AL,Chicago,12,54,48,6,12,2,0,3,6,2,0,9,4,0,0,3,0,0,0.25,0.33299999999999996,0.479,0.812
Tim Anderson,25,3,MLB-AL,Chicago,12,49,45,8,12,1,0,3,4,4,0,16,0,0,0,0,6,0,0.267,0.327,0.489,0.815
Welington Castillo,31,5,MLB-AL,Chicago,8,30,28,3,6,2,0,2,4,2,0,7,0,0,0,2,0,0,0.214,0.267,0.5,0.767
Matt Davidson,27,3,MLB-AL,Chicago,11,48,38,10,8,1,0,5,10,9,0,16,1,0,0,3,0,0,0.21100000000000002,0.375,0.632,1.0070000000000001
Nicky Delmonico,25,3,MLB-AL,Chicago,11,39,32,3,9,1,0,1,3,6,0,9,1,0,0,1,0,0,0.281,0.41,0.406,0.8170000000000001
Adam Engel,26,3,MLB-AL,Chicago,11,36,29,0,4,1,0,0,3,5,0,11,1,0,1,0,1,0,0.138,0.278,0.172,0.45
Avisail Garcia,27,3,MLB-AL,Chicago,12,55,52,5,13,3,0,1,3,0,0,12,2,0,1,3,0,0,0.25,0.273,0.365,0.638
Leury Garcia,27,4,MLB-AL,Chicago,8,21,18,3,5,1,0,0,2,1,0,4,2,0,0,0,2,0,0.278,0.381,0.33299999999999996,0.7140000000000001
Yoan Moncada,23,3,MLB-AL,Chicago,12,57,49,6,9,3,0,1,3,8,0,24,0,0,0,0,0,0,0.184,0.298,0.306,0.604
Omar Narvaez,26,3,MLB-AL,Chicago,5,19,16,0,3,2,0,0,1,3,0,3,0,0,0,0,0,1,0.188,0.316,0.313,0.628
Tyler Saladino,28,5,MLB-AL,Chicago,5,9,8,1,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0.25,0.25,0.375,0.625
Yolmer Sanchez,26,3,MLB-AL,Chicago,12,44,38,3,11,1,2,1,9,2,0,9,2,0,2,1,1,0,0.289,0.341,0.5,0.841
